,Assign seriousness,Closed,Create SW anomaly,Require upgrade,Resolve SW anomaly,Resolve ticket,Schedule intervention,Take in charge ticket,Wait
Target: Assign seriousness,0.10687836508318377,0.07070377995497343,0.014909576564295484,0.008855084261769432,0.07053212243389108,0.0004675929284622972,0.06142213331270843,0.0012983816840775148,0.0006519407713841481
Target: Closed,0.028254162391078145,0.14952894003991002,0.031531739625841125,0.018727306580634002,0.14916590757978312,0.9290676562085992,0.12989951166809283,0.002745901804839609,0.001378766631373232
Target: Create SW anomaly,0.005161739222767397,0.027317369528057907,0.01152103643604651,0.003421282555683643,0.02725104730400336,9.03304520893074e-05,0.02373127877991007,0.0010032949376962614,0.0002518862071256935
Target: Require upgrade,0.019872696007654473,0.1051718726830229,0.1552459659757266,0.09220356487567415,0.10491653212041291,0.0003477722405438333,0.09136542330265374,0.007725371020261205,0.0067883332820374365
Target: Resolve SW anomaly,0.007097391431305174,0.037561383101079635,0.03168285019912791,0.004704263514065011,0.037470190043004635,0.0001242043716227977,0.03263050832237636,0.0006897652696661797,0.0003463435347978287
Target: Resolve ticket,0.02809349841174795,0.14867866126684598,0.6270487617625778,0.7075910060646016,0.2966353862964169,0.04228072245406607,0.38748256000893755,0.7426382153428398,0.6032076321466145
Target: Schedule intervention,0.005161739222767397,0.027317369528057907,0.005760518218023253,0.003421282555683643,0.02725104730400336,9.03304520893074e-05,0.02373127877991007,0.001504942406544392,0.0002518862071256935
Target: Take in charge ticket,0.7461080246660808,0.29248982343799285,0.09251767203118119,0.05494802471458185,0.14588985235678725,0.026597374017923364,0.12704659453327596,0.03491273441848816,0.3141971165325105
Target: Wait,0.05337238356341492,0.14123080046005945,0.029781879187180234,0.10612818487730667,0.14088791456169744,0.0009340168746034389,0.1226907112921351,0.20748139311558683,0.07292609468703085
